id;code;okved;version;ismain
100c920f-1c33-4bfa-88e1-50fca90c4037;10.72.34;Производство галет и крекеров;2014;0
100c920f-1c33-4bfa-88e1-50fca90c4037;10.72.2;Производство тортов и пирожных длительного хранения;2014;0
100c920f-1c33-4bfa-88e1-50fca90c4037;47.24;Торговля розничная хлебом и хлебобулочными изделиями и кондитерскими изделиями в специализированных магазинах;2014;0
100c920f-1c33-4bfa-88e1-50fca90c4037;10.72.4;Производство замороженных хлебобулочных полуфабрикатов;2014;0
3da2a4fa-b17a-4661-883c-363cce5f2206;56.29;Деятельность предприятий общественного питания по прочим видам организации питания;2014;0
3da2a4fa-b17a-4661-883c-363cce5f2206;47.81.2;Торговля розничная на рынках пищевыми продуктами, напитками и табачной продукцией;2014;0
892e6d8e-d508-46ec-97f2-ed2cd3829b24;46.9;Торговля оптовая неспециализированная;2014;0
892e6d8e-d508-46ec-97f2-ed2cd3829b24;68.2;Аренда и управление собственным или арендованным недвижимым имуществом;2014;0
40544dfd-0e78-454c-8046-6e600d4ae591;49.42;Предоставление услуг по перевозкам;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;71.12.1;Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.78.3;Торговля розничная сувенирами, изделиями народных художественных промыслов;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;79.90.31;Деятельность по бронированию билетов на культурно-развлекательные мероприятия;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.81.2;Торговля розничная на рынках пищевыми продуктами, напитками и табачной продукцией;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;28.29.43;Производство торговых автоматов;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;46.43;Торговля оптовая бытовыми электротоварами;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;46.64;Торговля оптовая машинами и оборудованием для текстильного, швейного и трикотажного производств;2014;0
